,Latitude,Longitude,Type
192,41.923738,-87.785288,Trap
193,41.970248,-87.787992,Trap
194,42.010412,-87.66214000000001,Trap
195,41.899229999999996,-87.716788,Trap
197,41.692555,-87.598865,Trap
199,41.94016,-87.794896,Trap
200,41.903002,-87.68826700000001,Trap
270,41.942114000000004,-87.776385,Trap
271,41.960615999999995,-87.777189,Trap
272,41.883284,-87.705085,Trap
274,41.704336,-87.70373599999999,Trap
388,41.962728000000006,-87.748367,Trap
389,41.836644,-87.677737,Trap
390,41.837084999999995,-87.729384,Trap
391,41.911823999999996,-87.726737,Trap
392,41.823065,-87.67837800000001,Trap
394,41.801179,-87.679447,Trap
396,41.800737,-87.71188000000001,Trap
397,41.778296999999995,-87.752411,Trap
400,41.77166,-87.703047,Trap
401,41.759346,-87.745602,Trap
402,41.768388,-87.678649,Trap
405,41.797616,-87.797894,Trap
406,41.781416,-87.77653199999999,Trap
407,41.773215,-87.60088,Trap
409,41.822536,-87.66634300000001,Trap
410,41.799282,-87.585487,Trap
411,41.794781,-87.615989,Trap
412,41.778748,-87.586427,Trap
413,41.766202,-87.562889,Trap
415,41.754676,-87.612922,Trap
417,41.821582,-87.62779599999999,Trap
419,41.803422999999995,-87.642984,Trap
422,41.754292,-87.590773,Trap
424,41.798697,-87.736812,Trap
426,41.776156,-87.778927,Trap
527,41.82561,-87.726549,Trap
529,41.673408,-87.599862,Trap
530,41.726465000000005,-87.585413,Trap
535,41.678618,-87.559308,Trap
541,41.737052,-87.54306700000001,Trap
544,41.740641,-87.546587,Trap
547,41.680946,-87.535198,Trap
552,41.686398,-87.531635,Trap
685,41.729669,-87.582699,Trap
687,41.704572,-87.56566600000001,Trap
774,41.74785,-87.70271600000001,Trap
1285,41.775051,-87.65535600000001,Trap
1288,41.644612,-87.60449799999999,Trap
1290,41.733643,-87.55551,Trap
1294,41.717753,-87.531657,Trap
1298,41.750498,-87.605294,Trap
1303,41.702723999999996,-87.536497,Trap
1317,41.984809000000006,-87.728492,Trap
1320,41.772846,-87.740029,Trap
1325,41.825902,-87.667827,Trap
2184,41.659112,-87.53869300000001,Trap
3868,41.974689,-87.890615,Trap
3975,41.957799,-87.930995,Trap
4880,41.925197999999995,-87.746381,Trap
4883,41.973845000000004,-87.805059,Trap
4884,41.743402,-87.731435,Trap
4887,41.728495,-87.60096300000001,Trap
4978,41.947227000000005,-87.67145699999999,Trap
4979,41.793818,-87.654234,Trap
5330,41.753411,-87.63981700000001,Trap
5333,41.904194,-87.756155,Trap
5521,41.951865999999995,-87.72505699999999,Trap
6120,41.912563,-87.66805500000001,Trap
6225,41.98728,-87.666066,Trap
6228,41.776428,-87.627096,Trap
7343,42.009876,-87.807277,Trap
7466,41.994679,-87.770899,Trap
7635,41.738903,-87.69544300000001,Trap
7821,41.753391,-87.707394,Trap
8667,41.71914,-87.669539,Trap
9552,41.925652,-87.63359,Trap
0,42.3916233333333,-88.0891633333333,Spray
1,42.3913483333333,-88.0891633333333,Spray
2,42.3910216666667,-88.0891566666667,Spray
3,42.3906366666667,-88.0891583333333,Spray
4,42.390409999999996,-88.0888583333333,Spray
5,42.390395,-88.08831500000001,Spray
6,42.3906733333333,-88.0880016666667,Spray
7,42.391026666666704,-88.0880016666667,Spray
8,42.391403333333294,-88.0880033333333,Spray
9,42.391718333333294,-88.08799499999999,Spray
10,42.392038333333296,-88.0879883333333,Spray
11,42.39241,-88.0880783333333,Spray
12,42.3928,-88.0883316666667,Spray
13,42.3932566666667,-88.08837,Spray
14,42.3936,-88.0882316666667,Spray
15,42.3932033333333,-88.0884166666667,Spray
16,42.3927916666667,-88.0883116666667,Spray
17,42.3924766666667,-88.08821,Spray
18,42.392385,-88.08869666666669,Spray
19,42.392098333333294,-88.0891133333333,Spray
20,42.392179999999996,-88.0894983333333,Spray
21,42.3924283333333,-88.08979000000001,Spray
22,42.3927216666667,-88.09004166666669,Spray
23,42.3929583333333,-88.0903,Spray
24,42.392990000000005,-88.09089499999999,Spray
25,42.393001666666706,-88.0916116666667,Spray
26,42.3930083333333,-88.09201,Spray
27,42.39302,-88.0925483333333,Spray
28,42.39310333333329,-88.0931816666667,Spray
29,42.3931183333333,-88.0937366666667,Spray
30,42.393423333333295,-88.09389499999999,Spray
31,42.3937433333333,-88.094075,Spray
32,42.394104999999996,-88.09425,Spray
33,42.394478333333296,-88.0942233333333,Spray
34,42.394859999999994,-88.0941983333333,Spray
35,42.395084999999995,-88.094515,Spray
36,42.395095,-88.0950266666667,Spray
37,42.395078333333295,-88.09552,Spray
38,42.395351666666706,-88.09577166666669,Spray
39,42.3956966666667,-88.0958333333333,Spray
40,42.3959833333333,-88.0957566666667,Spray
41,42.3952183333333,-88.095685,Spray
42,42.3949316666667,-88.095555,Spray
43,42.3946166666667,-88.0955966666667,Spray
44,42.394290000000005,-88.0956,Spray
45,42.3939566666667,-88.095485,Spray
46,42.3936733333333,-88.0953716666667,Spray
47,42.393331666666704,-88.0952216666667,Spray
48,42.3930366666667,-88.0951433333333,Spray
49,42.3926466666667,-88.0951383333333,Spray
50,42.392348333333295,-88.09514,Spray
51,42.392236666666705,-88.095455,Spray
52,42.3922466666667,-88.09598000000001,Spray
53,42.392463333333296,-88.096435,Spray
54,42.392838333333295,-88.09644499999999,Spray
55,42.39319333333329,-88.0964466666667,Spray
56,42.393488333333295,-88.0962666666667,Spray
57,42.393603333333296,-88.0959166666667,Spray
58,42.3936783333333,-88.0955933333333,Spray
59,42.392526666666704,-88.0951483333333,Spray
60,42.392196666666706,-88.0951633333333,Spray
61,42.39186,-88.09514,Spray
62,42.391518333333295,-88.0951433333333,Spray
63,42.391296666666705,-88.0952033333333,Spray
64,42.391275,-88.0956083333333,Spray
65,42.39127,-88.096035,Spray
66,42.3912383333333,-88.0964683333333,Spray
67,42.3909516666667,-88.0964366666667,Spray
68,42.3906416666667,-88.09644,Spray
69,42.390335,-88.0964433333333,Spray
70,42.3900483333333,-88.096435,Spray
71,42.38987,-88.0962583333333,Spray
72,42.389866666666705,-88.0958783333333,Spray
73,42.389858333333294,-88.0954866666667,Spray
74,42.389855,-88.09508000000001,Spray
75,42.389843333333296,-88.0946666666667,Spray
76,42.389835,-88.0942183333333,Spray
77,42.389711666666706,-88.09391,Spray
78,42.38946,-88.09389499999999,Spray
79,42.3897216666667,-88.09383333333331,Spray
80,42.3898566666667,-88.09490500000001,Spray
81,42.390066666666705,-88.095155,Spray
82,42.390570000000004,-88.0951433333333,Spray
83,42.3909533333333,-88.095145,Spray
84,42.391225,-88.0951533333333,Spray
85,42.3915316666667,-88.095155,Spray
86,42.391855,-88.0951716666667,Spray
87,42.3929883333333,-88.09496999999999,Spray
88,42.3930533333333,-88.094515,Spray
89,42.3930933333333,-88.09405500000001,Spray
90,42.3929016666667,-88.0938533333333,Spray
91,42.3925866666667,-88.0938666666667,Spray
92,42.3923083333333,-88.0938733333333,Spray
93,42.3921833333333,-88.0937666666667,Spray
94,42.392508333333296,-88.09384666666669,Spray
95,41.9814333333333,-87.7877766666667,Spray
96,41.9809983333333,-87.7877783333333,Spray
97,41.98056,-87.7877616666667,Spray
98,41.9801983333333,-87.7877583333333,Spray
99,41.9797516666667,-87.78776500000001,Spray
100,41.9793516666667,-87.7877533333333,Spray
101,41.97885,-87.7877633333333,Spray
102,41.978398333333296,-87.7877733333333,Spray
103,41.977990000000005,-87.78775999999999,Spray
104,41.977495000000005,-87.7877783333333,Spray
105,41.975373333333295,-87.78783666666669,Spray
106,41.9748233333333,-87.7878416666667,Spray
107,41.9742833333333,-87.7878666666667,Spray
108,41.97381,-87.78788,Spray
109,41.9733533333333,-87.78788,Spray
110,41.972905,-87.7878933333333,Spray
111,41.972446666666706,-87.7878933333333,Spray
112,41.9719183333333,-87.7879216666667,Spray
113,41.9713833333333,-87.7879283333333,Spray
114,41.970898333333295,-87.78792,Spray
115,41.9704,-87.7879466666667,Spray
116,41.96987,-87.7879616666667,Spray
117,41.96934,-87.7879783333333,Spray
118,41.9685533333333,-87.78869499999999,Spray
119,41.9685566666667,-87.7891083333333,Spray
120,41.9687633333333,-87.7891483333333,Spray
121,41.968866666666706,-87.789165,Spray
122,41.969145000000005,-87.7891766666667,Spray
123,41.969421666666705,-87.7892016666667,Spray
124,41.969691666666705,-87.7892033333333,Spray
125,41.9702533333333,-87.7892466666667,Spray
126,41.970648333333294,-87.7892433333333,Spray
127,41.9709966666667,-87.7892333333333,Spray
128,41.9713833333333,-87.789225,Spray
129,41.971709999999995,-87.78922666666669,Spray
130,41.972065,-87.7892483333333,Spray
131,41.972455,-87.7892433333333,Spray
132,41.972809999999996,-87.7892466666667,Spray
133,41.9731466666667,-87.7892366666667,Spray
134,41.9734183333333,-87.7892183333333,Spray
135,41.974101666666705,-87.7892283333333,Spray
136,41.9745866666667,-87.7892166666667,Spray
137,41.974948333333295,-87.7892083333333,Spray
138,41.975466666666705,-87.7891733333333,Spray
139,41.975953333333294,-87.78916,Spray
140,41.976428333333295,-87.7891383333333,Spray
141,41.976806666666704,-87.7891483333333,Spray
142,41.9771966666667,-87.78914,Spray
143,41.9775283333333,-87.7891566666667,Spray
144,41.9779583333333,-87.7891516666667,Spray
145,41.97835,-87.7891633333333,Spray
146,41.978745,-87.7891433333333,Spray
147,41.97916,-87.7891316666667,Spray
148,41.9799,-87.789125,Spray
149,41.980413333333296,-87.7891183333333,Spray
150,41.980715000000004,-87.7897016666667,Spray
151,41.980751666666706,-87.79012,Spray
152,41.980585,-87.7902266666667,Spray
153,41.9802516666667,-87.7902133333333,Spray
154,41.97995,-87.7902183333333,Spray
155,41.9795966666667,-87.7902083333333,Spray
156,41.9793116666667,-87.790195,Spray
157,41.979005,-87.7902033333333,Spray
158,41.9786366666667,-87.7902016666667,Spray
159,41.978331666666705,-87.79019833333331,Spray
160,41.977709999999995,-87.790205,Spray
161,41.977343333333295,-87.7902133333333,Spray
162,41.97710666666671,-87.7902366666667,Spray
163,41.9767066666667,-87.7902233333333,Spray
164,41.9762983333333,-87.79024,Spray
165,41.975905,-87.7902516666667,Spray
166,41.9755883333333,-87.7902416666667,Spray
167,41.97526,-87.790225,Spray
168,41.9748033333333,-87.7902466666667,Spray
169,41.97428,-87.79024333333331,Spray
170,41.973785,-87.790255,Spray
171,41.973175,-87.7902683333333,Spray
172,41.972635,-87.79028000000001,Spray
173,41.97225833333329,-87.7902966666667,Spray
174,41.971703333333295,-87.7903133333333,Spray
175,41.971109999999996,-87.7903216666667,Spray
176,41.9706166666667,-87.79034,Spray
177,41.970415,-87.7904883333333,Spray
178,41.970898333333295,-87.79150666666669,Spray
179,41.971325,-87.7915033333333,Spray
180,41.971793333333295,-87.791505,Spray
181,41.9722316666667,-87.7915216666667,Spray
182,41.9727233333333,-87.791525,Spray
183,41.9732383333333,-87.7915283333333,Spray
184,41.973684999999996,-87.7915333333333,Spray
185,41.9742433333333,-87.791545,Spray
186,41.974731666666706,-87.79154,Spray
187,41.9752316666667,-87.791545,Spray
188,41.97568333333329,-87.7915766666667,Spray
189,41.976125,-87.79159666666669,Spray
190,41.97661,-87.79159,Spray
191,41.97706166666671,-87.791575,Spray
192,41.9774516666667,-87.7915616666667,Spray
193,41.9779366666667,-87.7915466666667,Spray
194,41.9784333333333,-87.7915366666667,Spray
195,41.97887,-87.7915283333333,Spray
196,41.978984999999994,-87.79125,Spray
197,41.979003333333296,-87.7907383333333,Spray
198,41.9792083333333,-87.79035,Spray
199,41.979698333333296,-87.79034166666669,Spray
200,41.980188333333295,-87.790335,Spray
201,41.980656666666704,-87.7903283333333,Spray
202,41.980805,-87.7907416666667,Spray
203,41.98082166666671,-87.79143499999999,Spray
204,41.980841666666706,-87.7920583333333,Spray
205,41.980405,-87.7926283333333,Spray
206,41.977661666666705,-87.7926816666667,Spray
207,41.9771,-87.79268,Spray
208,41.97654666666671,-87.7926883333333,Spray
209,41.9759966666667,-87.7927083333333,Spray
210,41.9755866666667,-87.79271,Spray
211,41.975131666666705,-87.7927016666667,Spray
212,41.9747116666667,-87.792675,Spray
213,41.97419,-87.79271,Spray
214,41.9737,-87.792705,Spray
215,41.9731483333333,-87.79271999999999,Spray
216,41.9726283333333,-87.7927333333333,Spray
217,41.9722033333333,-87.79274000000001,Spray
218,41.9716916666667,-87.79276,Spray
219,41.971123333333296,-87.7927666666667,Spray
220,41.970625,-87.7927816666667,Spray
221,41.9701266666667,-87.7928,Spray
222,41.969605,-87.7927916666667,Spray
223,41.969055,-87.79281,Spray
224,41.968615,-87.7930466666667,Spray
225,41.96859,-87.7938466666667,Spray
226,41.9687816666667,-87.79401666666669,Spray
227,41.969238333333294,-87.79403,Spray
228,41.9697216666667,-87.79401666666669,Spray
229,41.9701716666667,-87.794005,Spray
230,41.970575,-87.794015,Spray
231,41.971000000000004,-87.7940183333333,Spray
232,41.971445,-87.79401,Spray
233,41.971885,-87.79400333333331,Spray
234,41.972441666666704,-87.79401,Spray
235,41.973043333333294,-87.7939883333333,Spray
236,41.974101666666705,-87.7939733333333,Spray
237,41.97469,-87.79396,Spray
238,41.975151666666704,-87.7939533333333,Spray
239,41.975584999999995,-87.7939516666667,Spray
240,41.97613,-87.7939433333333,Spray
241,41.976620000000004,-87.79392666666669,Spray
242,41.97707,-87.7939166666667,Spray
243,41.9776633333333,-87.7939116666667,Spray
244,41.9781366666667,-87.7939016666667,Spray
245,41.978716666666706,-87.7939116666667,Spray
246,41.979255,-87.7939016666667,Spray
247,41.9797983333333,-87.7938983333333,Spray
248,41.97803,-87.7950816666667,Spray
249,41.9775216666667,-87.7950933333333,Spray
250,41.977028333333294,-87.7951066666667,Spray
251,41.976615,-87.7951133333333,Spray
252,41.9762866666667,-87.7951216666667,Spray
253,41.97585,-87.7951416666667,Spray
254,41.9755066666667,-87.79513,Spray
255,41.975063333333296,-87.7951033333333,Spray
256,41.974526666666705,-87.795105,Spray
257,41.9740383333333,-87.7951033333333,Spray
258,41.97354,-87.79512,Spray
259,41.9729916666667,-87.7951316666667,Spray
260,41.972425,-87.7951466666667,Spray
261,41.971858333333294,-87.7951583333333,Spray
262,41.97137,-87.7951716666667,Spray
263,41.97085,-87.7951833333333,Spray
264,41.97038,-87.79518166666669,Spray
265,41.969784999999995,-87.79519499999999,Spray
266,41.9692116666667,-87.7952033333333,Spray
267,41.968615,-87.7952683333333,Spray
268,41.968579999999996,-87.796065,Spray
269,41.9687616666667,-87.79645,Spray
270,41.9692783333333,-87.7964433333333,Spray
271,41.969778333333295,-87.7964433333333,Spray
272,41.970186666666706,-87.7964466666667,Spray
273,41.97072,-87.7964533333333,Spray
274,41.9713166666667,-87.79644,Spray
275,41.971791666666704,-87.79644499999999,Spray
276,41.971968333333294,-87.7972466666667,Spray
277,41.97201,-87.79759666666669,Spray
278,41.9725,-87.7976083333333,Spray
279,41.972958333333295,-87.7976083333333,Spray
280,41.973496666666705,-87.7976133333333,Spray
281,41.974035,-87.7976083333333,Spray
282,41.974658333333295,-87.7976116666667,Spray
283,41.975198333333296,-87.7976033333333,Spray
284,41.9756483333333,-87.7976016666667,Spray
285,41.9762383333333,-87.79759,Spray
286,41.9768466666667,-87.7975983333333,Spray
287,41.97818,-87.79757,Spray
288,41.978663333333294,-87.79759,Spray
289,41.979111666666704,-87.7976966666667,Spray
290,41.97972,-87.7976816666667,Spray
291,41.9802933333333,-87.7976916666667,Spray
292,41.9808883333333,-87.7976816666667,Spray
293,41.9812233333333,-87.79768,Spray
294,41.9816033333333,-87.7984666666667,Spray
295,41.98154,-87.79883833333331,Spray
296,41.9810966666667,-87.79885166666669,Spray
297,41.980554999999995,-87.79885,Spray
298,41.980025,-87.79885166666669,Spray
299,41.979513333333294,-87.7988666666667,Spray
300,41.97917,-87.7987716666667,Spray
301,41.9786583333333,-87.7987633333333,Spray
302,41.9781466666667,-87.7987733333333,Spray
303,41.97762,-87.798775,Spray
304,41.977140000000006,-87.7987766666667,Spray
305,41.97651,-87.798775,Spray
306,41.975916666666706,-87.7987733333333,Spray
307,41.9753716666667,-87.798775,Spray
308,41.974841666666705,-87.79879,Spray
309,41.974265,-87.798805,Spray
310,41.97377,-87.7987966666667,Spray
311,41.973175,-87.798805,Spray
312,41.972953333333294,-87.7989666666667,Spray
313,41.972621666666704,-87.7990483333333,Spray
314,41.97211,-87.798975,Spray
315,41.971638333333296,-87.7988133333333,Spray
316,41.97103,-87.79883833333331,Spray
317,41.9704783333333,-87.7988366666667,Spray
318,41.969998333333294,-87.7988216666667,Spray
319,41.969441666666704,-87.7988483333333,Spray
320,41.968855,-87.7988666666667,Spray
321,41.9685383333333,-87.799545,Spray
322,41.968636666666704,-87.8000966666667,Spray
323,41.969055,-87.8000716666667,Spray
324,41.969528333333294,-87.8000716666667,Spray
325,41.96998,-87.80006,Spray
326,41.97032,-87.80004,Spray
327,41.97085,-87.800045,Spray
328,41.9713783333333,-87.8000383333333,Spray
329,41.97191,-87.8000333333333,Spray
330,41.972511666666705,-87.80003,Spray
331,41.9731116666667,-87.8000183333333,Spray
332,41.97357,-87.8000016666667,Spray
333,41.97402,-87.7999983333333,Spray
334,41.97469,-87.7999966666667,Spray
335,41.975261666666704,-87.7999766666667,Spray
336,41.975466666666705,-87.8001433333333,Spray
337,41.9754733333333,-87.8008916666667,Spray
338,41.9752533333333,-87.8011816666667,Spray
339,41.974815,-87.80119499999999,Spray
340,41.9743283333333,-87.8011883333333,Spray
341,41.9739533333333,-87.8012083333333,Spray
342,41.97354,-87.80120500000001,Spray
343,41.972981666666705,-87.801215,Spray
344,41.9724516666667,-87.8012233333333,Spray
345,41.971971666666704,-87.80124,Spray
346,41.97139,-87.8012416666667,Spray
347,41.970755,-87.80125833333331,Spray
348,41.970141666666706,-87.8012716666667,Spray
349,41.96965166666671,-87.80127,Spray
350,41.9691183333333,-87.801305,Spray
351,41.9686033333333,-87.8013316666667,Spray
352,41.968441666666706,-87.8017133333333,Spray
353,41.968435,-87.8024466666667,Spray
354,41.968825,-87.8025233333333,Spray
355,41.969365,-87.8024966666667,Spray
356,41.9698566666667,-87.80248,Spray
357,41.970673333333295,-87.80246,Spray
358,41.971171666666706,-87.8024466666667,Spray
359,41.971678333333294,-87.80246,Spray
360,41.972155,-87.802465,Spray
361,41.972686666666704,-87.8024566666667,Spray
362,41.973255,-87.8024533333333,Spray
363,41.9737933333333,-87.8024416666667,Spray
364,41.9743316666667,-87.8024283333333,Spray
365,41.974788333333294,-87.8024383333333,Spray
366,41.975221666666705,-87.80243166666669,Spray
367,41.97542,-87.8024333333333,Spray
368,41.9758983333333,-87.8024366666667,Spray
369,41.976386666666706,-87.80243,Spray
370,41.97692666666671,-87.80242,Spray
371,41.9774233333333,-87.8024216666667,Spray
372,41.97795,-87.8024066666667,Spray
373,41.9784516666667,-87.8023833333333,Spray
374,41.979023333333295,-87.8023683333333,Spray
375,41.979645,-87.8023683333333,Spray
376,41.980991666666704,-87.8023516666667,Spray
377,41.981483333333294,-87.802335,Spray
378,41.9817266666667,-87.802965,Spray
379,41.981713333333296,-87.80344833333331,Spray
380,41.981331666666705,-87.803485,Spray
381,41.980903333333295,-87.80351999999999,Spray
382,41.980438333333296,-87.8035183333333,Spray
383,41.9801333333333,-87.8035316666667,Spray
384,41.979659999999996,-87.8035583333333,Spray
385,41.979251666666705,-87.8035616666667,Spray
386,41.9787916666667,-87.8035533333333,Spray
387,41.978263333333295,-87.803565,Spray
388,41.9778983333333,-87.80362833333331,Spray
389,41.9778733333333,-87.8042833333333,Spray
390,41.9785216666667,-87.8046733333333,Spray
391,41.979096666666706,-87.80465833333331,Spray
392,41.979729999999996,-87.80466,Spray
393,41.980326666666706,-87.80465500000001,Spray
394,41.9806233333333,-87.8046483333333,Spray
395,41.981238333333295,-87.804645,Spray
396,41.9790816666667,-87.80386,Spray
397,41.9791283333333,-87.8045716666667,Spray
398,41.978688333333295,-87.8047066666667,Spray
399,41.9781383333333,-87.8047183333333,Spray
400,41.97765333333329,-87.8047316666667,Spray
401,41.9772066666667,-87.804725,Spray
402,41.9767683333333,-87.80473,Spray
403,41.97619,-87.8047516666667,Spray
404,41.97513666666671,-87.80476166666669,Spray
405,41.9747533333333,-87.8047666666667,Spray
406,41.974298333333294,-87.8047783333333,Spray
407,41.973943333333295,-87.8047716666667,Spray
408,41.97382,-87.80434,Spray
409,41.97382,-87.80394333333331,Spray
410,41.9737933333333,-87.80367333333331,Spray
411,41.973808333333295,-87.8029783333333,Spray
412,41.97381,-87.8023833333333,Spray
413,41.9738216666667,-87.801585,Spray
414,41.973831666666705,-87.80075,Spray
415,41.973835,-87.7999216666667,Spray
416,41.9738466666667,-87.799155,Spray
417,41.973851666666704,-87.7967833333333,Spray
418,41.9738683333333,-87.79515500000001,Spray
419,41.9738883333333,-87.7944066666667,Spray
420,41.973896666666704,-87.79347,Spray
421,41.973893333333294,-87.792565,Spray
422,41.9738883333333,-87.7909516666667,Spray
423,41.973890000000004,-87.7900166666667,Spray
424,41.9739033333333,-87.78914,Spray
425,41.973890000000004,-87.7885316666667,Spray
426,41.9721383333333,-87.7882966666667,Spray
427,41.9720683333333,-87.788915,Spray
428,41.97205,-87.7894816666667,Spray
429,41.972035,-87.79024333333331,Spray
430,41.97203,-87.790975,Spray
431,41.97202,-87.7918166666667,Spray
432,41.972,-87.79266333333331,Spray
433,41.971971666666704,-87.79346,Spray
434,41.9719783333333,-87.7942183333333,Spray
435,41.971973333333295,-87.7950433333333,Spray
436,41.971956666666706,-87.7958533333333,Spray
437,41.971956666666706,-87.7967283333333,Spray
438,41.971955,-87.7974783333333,Spray
439,41.971956666666706,-87.7983383333333,Spray
440,41.9719366666667,-87.799145,Spray
441,41.971926666666704,-87.7998916666667,Spray
442,41.9718916666667,-87.8007333333333,Spray
443,41.97189,-87.8015733333333,Spray
444,41.971895,-87.80239,Spray
445,41.971883333333295,-87.8032433333333,Spray
446,41.97187,-87.8040816666667,Spray
447,41.971861666666705,-87.8049133333333,Spray
448,41.971861666666705,-87.8057366666667,Spray
449,41.971861666666705,-87.80651999999999,Spray
450,41.970161666666705,-87.8065916666667,Spray
451,41.970163333333296,-87.80604833333331,Spray
452,41.970165,-87.8053116666667,Spray
453,41.970158333333295,-87.804705,Spray
454,41.970163333333296,-87.803965,Spray
455,41.970178333333294,-87.8031966666667,Spray
456,41.970181666666704,-87.80238666666669,Spray
457,41.9701933333333,-87.8015733333333,Spray
458,41.9701933333333,-87.8008033333333,Spray
459,41.9701883333333,-87.800025,Spray
460,41.97019833333329,-87.79913499999999,Spray
461,41.9702016666667,-87.798375,Spray
462,41.9702383333333,-87.7978766666667,Spray
463,41.9702383333333,-87.7972216666667,Spray
464,41.970304999999996,-87.7967716666667,Spray
465,41.9702983333333,-87.7961866666667,Spray
466,41.970304999999996,-87.7956366666667,Spray
467,41.970321666666706,-87.7949333333333,Spray
468,41.97028833333329,-87.794435,Spray
469,41.970291666666704,-87.793615,Spray
470,41.970290000000006,-87.7928533333333,Spray
471,41.9703016666667,-87.79209,Spray
472,41.9703033333333,-87.7913833333333,Spray
473,41.97032,-87.79063000000001,Spray
474,41.9703266666667,-87.7900816666667,Spray
475,41.9703516666667,-87.7894933333333,Spray
476,41.982766666666706,-87.7881916666667,Spray
477,41.9827266666667,-87.7887366666667,Spray
478,41.982743333333296,-87.789485,Spray
479,41.982741666666705,-87.7902766666667,Spray
480,41.9827533333333,-87.791015,Spray
481,41.982755,-87.79169499999999,Spray
482,41.98277,-87.7924566666667,Spray
483,41.98337,-87.7928416666667,Spray
484,41.9839166666667,-87.7930883333333,Spray
485,41.9839166666667,-87.7930883333333,Spray
486,41.9849883333333,-87.7935633333333,Spray
487,41.985455,-87.7937966666667,Spray
488,41.985865000000004,-87.79398,Spray
489,41.98646,-87.794225,Spray
490,41.98646,-87.794225,Spray
491,41.98646,-87.794225,Spray
492,41.98646,-87.794225,Spray
493,41.98646,-87.794225,Spray
494,41.98646,-87.794225,Spray
495,41.98646,-87.794225,Spray
496,41.98646,-87.794225,Spray
497,41.98646,-87.794225,Spray
498,41.98646,-87.794225,Spray
499,41.98646,-87.794225,Spray
500,41.98646,-87.794225,Spray
501,41.98646,-87.794225,Spray
502,41.98646,-87.794225,Spray
503,41.98646,-87.794225,Spray
504,41.98646,-87.794225,Spray
505,41.98646,-87.794225,Spray
506,41.98646,-87.794225,Spray
507,41.98646,-87.794225,Spray
508,41.98646,-87.794225,Spray
509,41.98646,-87.794225,Spray
510,41.98646,-87.794225,Spray
511,41.98646,-87.794225,Spray
512,41.98646,-87.794225,Spray
513,41.98646,-87.794225,Spray
514,41.98646,-87.794225,Spray
515,41.98646,-87.794225,Spray
516,41.98646,-87.794225,Spray
517,41.98646,-87.794225,Spray
518,41.98646,-87.794225,Spray
519,41.98646,-87.794225,Spray
520,41.98646,-87.794225,Spray
521,41.98646,-87.794225,Spray
522,41.98646,-87.794225,Spray
523,41.98646,-87.794225,Spray
524,41.98646,-87.794225,Spray
525,41.98646,-87.794225,Spray
526,41.98646,-87.794225,Spray
527,41.98646,-87.794225,Spray
528,41.98646,-87.794225,Spray
529,41.98646,-87.794225,Spray
530,41.98646,-87.794225,Spray
531,41.98646,-87.794225,Spray
532,41.98646,-87.794225,Spray
533,41.98646,-87.794225,Spray
534,41.98646,-87.794225,Spray
535,41.98646,-87.794225,Spray
536,41.98646,-87.794225,Spray
537,41.98646,-87.794225,Spray
538,41.98646,-87.794225,Spray
539,41.98646,-87.794225,Spray
540,41.98646,-87.794225,Spray
541,41.98646,-87.794225,Spray
542,41.98646,-87.794225,Spray
543,41.98646,-87.794225,Spray
544,41.98646,-87.794225,Spray
545,41.98646,-87.794225,Spray
546,41.98646,-87.794225,Spray
